latitude,longitude,NumOfCloseListings,PerSqm,Deviation_price_per_sqm
48.189139,16.38869746,240,7263.078089,-0.069
48.189139,16.38869746,240,8262.49575,0.0592
48.19436073,16.40027317,247,7657.534247,-0.0184
48.19181633,16.38878673,250,6166.187859,-0.2096
48.20464984,16.39460156,322,9053.497942,0.1606
48.18911754,16.388676,239,8937.937063,0.1457
48.18911754,16.388676,239,7960.419436,0.0204
48.2029588,16.3908099,325,15350.83227,0.9678
48.18553781,16.41433568,32,7873.730044,0.0093
48.19932186,16.40365751,217,5211.267606,-0.332
48.186182,16.37178651,315,7695.70011,-0.2854
48.186182,16.37178651,315,10954.0636,0.0172
48.19006244,16.3701411,332,6562.5,-0.3906
48.19059228,16.36641538,373,13000.60988,0.2072
48.19059228,16.36641538,373,13241.68723,0.2296
48.19059228,16.36641538,373,14324.32432,0.3301
48.19059228,16.36641538,373,12318.3063,0.1439
48.19658847,16.36001653,557,9775.510204,-0.0923
48.19658847,16.36001653,557,10587.30159,-0.0169
48.19658847,16.36001653,557,21778.89096,1.0224
48.19658847,16.36001653,557,7563.141826,-0.2977
48.19059228,16.36641538,373,11122.79226,0.0329
48.19794862,16.36208554,481,4511.013216,-0.5811
48.19100359,16.36355356,453,13542.37288,0.2575
48.19373208,16.36603154,424,13843.70016,0.2855
48.19526937,16.37301983,269,15341.13847,0.4246
48.19375353,16.36609591,424,11428.57143,0.0612
48.19661707,16.3600058,556,21725.74085,1.0174
48.19661707,16.3600058,556,15505.50026,0.4398
48.19661707,16.3600058,556,9347.544289,-0.132
48.19661707,16.3600058,556,14256.33115,0.3238
48.19661707,16.3600058,556,10383.79116,-0.0358
48.18623207,16.37177578,314,8210.571924,-0.2376
48.18623207,16.37177578,314,6591.304348,-0.3879
48.18623207,16.37177578,314,6115.107914,-0.4322
48.19065393,16.36485468,431,5476.051402,-0.4915
48.19001953,16.37025911,332,6562.5,-0.3906
48.19059228,16.36646903,370,7116.104869,-0.3392
48.1885558,16.37983615,271,3930.870891,-0.635
48.1914483,16.37585573,238,6611.111111,-0.3861
48.1898265,16.37099114,331,5987.5,-0.444
48.18623207,16.37177578,314,10464.01015,-0.0283
48.18623207,16.37177578,314,9684.917355,-0.1007
48.18623207,16.37177578,314,10050.92144,-0.0667
48.18623207,16.37177578,314,8882.164471,-0.1752
48.18623207,16.37177578,314,8930.771126,-0.1707
48.19661707,16.3600058,556,7950.347274,-0.2617
48.19661707,16.3600058,556,9552.647001,-0.1129
48.19661707,16.3600058,556,9259.617243,-0.1402
48.19661707,16.3600058,556,7896.959459,-0.2667
48.1862067,16.34874017,414,6089.309878,-0.0057
48.1862067,16.34874017,414,6080.206986,-0.0072
48.18413941,16.3630096,284,6184.084372,0.0098
48.18785181,16.3593344,485,6416.131989,0.0477
48.18654938,16.35399995,467,5641.509434,-0.0788
48.18785181,16.3593344,485,6969.990319,0.1381
48.18619239,16.34871871,414,6089.309878,-0.0057
48.1871403,16.35763273,487,5344.418052,-0.1273
48.18619955,16.3487509,414,5632.04005,-0.0803
48.18619955,16.3487509,414,6070.110701,-0.0088
48.18367213,16.36380637,276,4799.154334,-0.2163
48.18492339,16.35895776,379,5190.192308,-0.1525
48.18247642,16.3604197,280,5032.08066,-0.1783
48.18624246,16.34872944,415,6075.715605,-0.0079
48.18650551,16.35586471,460,4806.565064,-0.2151
48.19212358,16.3632742,458,6734.722813,0.0997
48.18886955,16.35897706,504,5252.631579,-0.1423
48.19509708,16.36085178,555,13122.27806,1.1428
48.19509708,16.36085178,555,11706.97674,0.9117
48.18407154,16.35399464,346,3285.714286,-0.4635
48.18407154,16.35399464,346,3215.258856,-0.475
48.19212358,16.3632742,458,7456.359102,0.2176
48.19212358,16.3632742,458,5389.221557,-0.12
48.19212358,16.3632742,458,5341.463415,-0.1278
48.18247642,16.3604197,280,5701.754386,-0.0689
48.19212358,16.3632742,458,7268.292683,0.1869
48.18188224,16.35971065,271,4920.3125,-0.1966
48.18188224,16.35971065,271,16277.17391,1.6579
48.18188224,16.35971065,271,6186.813187,0.0103
48.19509708,16.36085178,555,6250,0.0206
48.19509708,16.36085178,555,6127.659574,0.0006
48.18188224,16.35971065,271,16215.48457,1.6479
48.1867648,16.36610977,318,5659.090909,-0.0759
48.1867648,16.36610977,318,5270.092227,-0.1394
48.1867648,16.36610977,318,5344.827586,-0.1272
48.19079315,16.3572097,507,6824.619289,0.1144
48.18529277,16.3648391,288,6473.953628,0.0571
48.18619955,16.3487509,414,6089.309878,-0.0057
48.18619955,16.3487509,414,6080.206986,-0.0072
48.19136843,16.34239007,523,5696.428571,-0.4246
48.1990445,16.35014117,637,6510.869565,-0.3423
